country,total_counts
韩国,394
中国,3298
巴基斯坦,143
美国,1387
哥伦比亚,161
比利时,705
德国,6083
荷兰,1873
巴西,1165
匈牙利,233
加拿大,2610
法国,3074
芬兰,632
印度,2830
波兰,1453
土耳其,244
新西兰,424
日本,1612
英国,1220
俄罗斯,880
瑞士,1256
孟加拉国,112
澳大利亚,1733
墨西哥,150
新加坡,588
葡萄牙,542
约旦,25
西班牙,1187
阿根廷,507
丹麦,581
黎巴嫩,14
阿联酋,32
埃塞俄比亚,16
沙特阿拉伯,35
阿曼,271
意大利,957
埃及,123
阿尔及利亚,16
瑞典,1099
智利,149
安哥拉,6
突尼斯,33
以色列,553
亚美尼亚,2
坦桑尼亚,18
保加利亚,4
挪威,726
格鲁吉亚,5
奥地利,3
伊朗,76
菲律宾,124
泰国,148
白俄罗斯,3
捷克共和国,596
马拉维,5
秘鲁,31
乌克兰,956
南非,186
摩洛哥,36
马来西亚,100
塞浦路斯,1
越南,188
卡塔尔,6
肯尼亚,113
爱沙尼亚,2
博茨瓦纳,1
希腊,2
乌干达,27
科威特,6
几内亚,1
赞比亚,7
莫桑比克,6
爱尔兰,1
印度尼西亚,1
斯里兰卡,1
阿尔巴尼亚,4
马里,1
